0,-466
1,-408
2,-349
3,-289
4,-230
5,-170
6,-111
7,-51
8,7
9,67
10,126
11,186
12,245
13,305
14,364
15,424
16,483
17,543
18,602
19,662
20,721
21,781
22,840
23,900
24,959
25,1019
26,1078
27,1138
28,1197
29,1257
30,1316
31,1376
32,1435
33,1495
34,1554
35,1614
36,1673
37,1733
38,1792
39,1852
40,1911
41,1971
42,2030
43,2090
44,2149
45,2209
46,2268
47,2328
48,2387
49,2447
50,2506
51,2566
52,2625
53,2685
54,2744
55,2804
56,2863
57,2923
58,2982
59,3042
60,3101
61,3161
62,3220
63,3280
64,3339
65,3399
66,3458
67,3518
68,3577
69,3636
70,3696
71,3755
72,3815
73,3874
74,3934
75,3993
76,4053
77,4112
78,4172
79,4231
80,4291
81,4350
82,4410
83,4469
84,4529
85,4588
86,4648
87,4707
88,4767
89,4826
90,4886
91,4945
92,5005
93,5064
94,5124
95,5183
96,5243
97,5302
98,5362
99,5421
100,5481
101,5540
102,5600
103,5659
104,5719
105,5778
106,5838
107,5897
108,5957
109,6016
110,6076
111,6135
112,6195
113,6254
114,6314
115,6373
116,6433
117,6492
118,6552
119,6611
120,6671
121,6730
122,6790
123,6849
124,6909
125,6968
126,7028
127,7087
128,7147
129,7206
130,7266
131,7325
132,7385
133,7444
134,7504
135,7563
136,7622
137,7682
138,7741
139,7801
140,7860
141,7920
142,7979
143,8039
144,8098
145,8158
146,8217
147,8277
148,8336
149,8396
150,8455
151,8515
152,8574
153,8634
154,8693
155,8753
156,8812
157,8872
158,8931
159,8991
160,9050
161,9110
162,9169
163,9229
164,9288
165,9348
166,9407
167,9467
168,9526
169,9586
170,9645
171,9705
172,9764
173,9824
174,9883
175,9943
176,10002
177,10062
178,10121
179,10181
180,10240
181,10300
182,10359
183,10419
184,10478
185,10538
186,10597
187,10657
188,10716
189,10776
190,10835
191,10895
192,10954
193,11014
194,11073
195,11133
196,11192
197,11252
198,11311
199,11371
200,11430
201,11490
202,11549
203,11608
204,11668
205,11727
206,11787
207,11846
208,11906
209,11965
210,12025
211,12084
212,12144
213,12203
214,12263
215,12322
216,12382
217,12441
218,12501
219,12560
220,12620
221,12679
222,12739
223,12798
224,12858
225,12917
226,12977
227,13036
228,13096
229,13155
230,13215
231,13274
232,13334
233,13393
